customer_id,first_name,last_name,phone_number,address
1,Donald,Arend,9020474801,"49 Madison Avenue"
2,Richard,Krick,7040231632,"32 Vineyard Drive"
3,Pauline,Hardman,9180289990,"18 Elmwood Place"
4,Lawrence,Sultzer,8278748624,"77 Rosedale Avenue"
5,Michael,Honeycutt,8821565245,"56 Broad Street"
6,Anthony,Gordon,7700708874,"36 Hillcrest Avenue"
7,Michael,Boston,8529502054,"44 Greystone Terrace"
8,Lorraine,Jones,9288340166,"13 Sunset Drive"
9,Jana,Casillas,8513379910,"74 Park Lane"
10,Robert,Aadland,7522389437,"25 Kingston Way"
11,Cynthia,NULL,8159251692,"71 Sunnyside Avenue"
12,Nicholas,Staples,8430746382,"76 Oak Street"
13,Heather,Woods,7161304233,"1 Meadow Lane"
14,Kimberly,Robles,9196094421,"75 Cedar Street"
15,Alan,Jurgens,7824073643,"14 Oakwood Drive"
16,Vella,Gidney,9663939373,"49 Parkview Road"
17,Ryan,Novak,9083564841,"1 Riverside Drive West"
18,Aurora,NULL,8949401769,"73 Cedar Road"
19,Jackie,Heard,7281453111,"67 Greystone Terrace"
20,Georgina,NULL,8522173583,"13 Holly Avenue"
21,Theresa,Jarrett,6564545925,"37 Riverside Drive West"
22,Edward,Bracero,9023576627,"24 Meadow Lane"
23,Jimmy,Woods,7169695787,"6 Linden Avenue"
24,Carlos,Cummings,9862850825,"48 Beechwood Road"
25,Natalia,Smith,9214121243,"50 Belmont Avenue"
26,Thomas,Hogan,6424084147,"44 Willow Street"
27,Lisa,Schneider,6935892892,"34 Willow Street"
28,Norman,Porter,7526395636,"32 Woodbine Street"
29,Elwood,Meeks,8218904775,"38 Cedar Court"
30,Linda,Williams,8677308781,"60 Washington Avenue"
31,Betty,Jolissaint,7433856796,"45 Willow Lane"
32,Gary,Henrich,6994023772,"21 Beechwood Road"
33,John,Savoy,7845475659,"12 Hickory Drive"
34,Ella,Johnson,8192570939,"21 Pinehurst Drive"
35,Eleanora,Davidson,8036857178,"65 Highland Drive"
36,Howard,Nalls,9510728389,"50 Washington Avenue"
37,David,Sterner,9723573930,"19 Elmwood Terrace"
38,Diana,Humiston,7432644769,"29 Northview Road"
39,Deborah,Hobart,6247375883,"50 Yorktown Road"
40,Caitlin,Murdy,8227159891,"45 Laurel Lane"
41,Ruth,NULL,6827925206,"62 Hillcrest Road"
42,Michael,Heard,6820655038,"18 Parkview Terrace"
43,Mary,Brown,8812688213,"19 Madison Court"
44,Tony,Totman,6390097382,"12 Fairmount Road"
45,Tommy,Woolery,7237886799,"38 Pinehurst Road"
46,Patricia,Wallace,6948160614,"13 Glenwood Avenue"
47,Charles,Joyce,9115462016,"54 Prospect Avenue"
48,Bobbie,Womack,8015177886,"72 Chestnut Street"
49,Juanita,Capehart,8336906388,"64 Parkview Road"
50,Bobby,Fox,7818441156,"14 Lakeview Drive"
51,Michael,Stribling,7985783427,"30 Cedar Street"
52,Ann,Massey,8021171505,"74 Willow Lane"
53,Nancy,Staton,8047395102,"40 Fairview Drive"
54,Virginia,Allen,6462356542,"30 Elmwood Terrace"
55,Jose,Reeser,6831564807,"31 Willow Lane"
56,John,Ramirez,8506220302,"64 Pineview Lane"
57,Rodney,Starr,9197365754,"71 Eastlake Drive"
58,Larry,Stouffer,8239316509,"28 Maplewood Drive"
59,Joshua,NULL,7411561076,"37 Magnoli"
60,Ok,Schafer,9223330191,"7 Pineview Drive"
61,Carl,Audirsch,8008834514,"32 Madison Court"
62,James,Cason,8570901582,"30 Southview Lane"
63,Elizabeth,Walker,7025878890,"25 Sunnyside Road"
64,Donna,Calahan,6627316830,"27 Cedar Terrace"
65,Marjorie,Richards,7485619456,"7 Madison Court"
66,Maribel,Hargrave,7481048511,"54 Lincoln Avenue"
67,Sean,Brewster,9463454553,"14 Meadow Lane"
68,Mark,Oathout,6523870619,"14 Pineview Lane"
69,Naomi,NULL,8775717180,"51 Madison Court"
70,John,Gammon,7447910379,"10 Meadowbrook Road"
71,Joshua,Brown,6291613809,"11 Elmwood Road"
72,Dawn,Warren,9841537248,"29 Magnolia Avenue"
73,Madeline,Smith,7629736941,"40 Garden Avenue"
74,John,Tubbs,7089298964,"58 Vineyard Drive"
75,Sue,Jessie,8297304682,"49 Magnoli"
76,Mireya,Hufft,6709548717,"36 Grove Street"
77,Willie,NULL,8979691563,"1 Pine Street"
78,Amanda,Hansen,9072661800,"22 Oakdale Drive"
79,Erika,Tefft,9117337355,"75 Longview Road"
80,Glendora,Oliver,9313329703,"66 Greystone Terrace"
81,Kay,Etkin,7928483505,"21 Brookside Avenue"
82,William,Levin,6986015300,"6 Beechwood Avenue"
83,Robert,Mattis,9993446865,"34 Walnut Avenue"
84,Mark,Roberts,9223374060,"36 Vine Street"
85,Robert,Glover,9289062499,"29 Linden Lane"
86,Thomas,Dement,6596717851,"19 Newbury Way"
87,Tracy,Eldridge,7708860824,"1 Lake Shore Drive"
88,Jessica,Poor,9125770648,"4 Belmont Avenue"
89,Ada,Franklin,8716171137,"63 Sycamore Street"
90,Lucile,Johnson,6943884625,"36 Maple Avenue"
91,Kimberly,NULL,8972067853,"75 Ridgeview Drive"
92,Richard,Mead,9462378779,"4 Lincoln Avenue"
93,Loren,Perona,8386608169,"54 Madison Court"
94,Terry,Richardson,6817733712,"47 Birchwood Lane"
95,Elicia,Hollis,9308934851,"24 Oakwood Lane"
96,Thomas,Hoefling,9733268383,"77 Beech Street"
97,James,White,8127684888,"69 Chestnut Avenue"
98,Patricia,Brewer,8266841327,"10 Lincoln Circle"
99,Roberto,Brown,9939228301,"65 Cedar Terrace"
100,Tara,Gonzalez,9477176220,"34 Orchard Road"
101,Preston,Pierce,6480556211,"44 Parkview Terrace"
102,Janet,Banks,9015393286,"71 Belmont Avenue"
103,Karen,Holland,7919369405,"15 Holly Avenue"
104,Paulette,Merle,8366928730,"76 Beechwood Road"
105,Miriam,Reisman,7785351427,"63 Linden Avenue"
106,Patrick,NULL,8137122071,"27 Brookdale Avenue"
107,Eddie,Gomez,6649479063,"1 Lakeview Drive"
108,Donald,Samples,9050157161,"25 Willow Street"
109,Sharon,Hopper,7496275259,"12 Madison Avenue"
110,Jackie,Riddell,6672483657,"15 Maplewood Road"
111,Cheryl,Skinner,7757745110,"57 Rosedale Avenue"
112,Valerie,Zalenski,9205312576,"44 Maple Avenue"
113,John,Lawless,7302786189,"9 Hillcrest Road"
114,Rosa,Palmieri,7653954603,"45 Columbus Lane"
115,Sonja,Wingard,7673240860,"8 Lincoln Circle"
116,Joseph,Hayes,9179714772,"72 Sunset Drive"
117,Maria,Payne,7820538521,"22 Magnolia Avenue"
118,Joseph,Gentry,6955479863,"27 Jefferson Street"
119,David,Warren,8130155912,"39 Cherry Hill Road"
120,Patricia,Machado,8767471345,"18 Willow Lane"
121,Jean,Bagwell,6715258953,"78 Columbus Lane"
122,William,Perna,8657624052,"24 Chestnut Avenue"
123,Shirley,Wright,7674230012,"3 Columbus Lane"
124,Alexander,Russ,7197381961,"72 Cedar Road"
125,Stefan,Evans,8377021079,"72 Oak Hill Drive"
126,Robert,NULL,6374719792,"10 Sunnyside Avenue"
127,Adrienne,Stclair,7449085101,"44 Chestnut Avenue"
128,Elizabeth,Blair,8507373500,"46 Birch Lane"
129,Shelley,Wilkins,9276859295,"48 Oakwood Lane"
130,Jonathan,Lipscomb,9963824930,"25 Lakeview Drive"
131,Tiffany,Williams,8522600455,"9 Laurel Lane"
132,Robert,Debonis,9937483094,"60 Lakeview Drive"
133,Stephen,Williams,7230568655,"11 Vineyard Drive"
134,Kristen,Ryan,9588160492,"34 Locust Lane"
135,Carla,Gordon,8733325326,"75 Longview Avenue"
136,Scott,Farmer,6266275050,"51 Ashland Avenue"
137,Jason,Oneill,7826333983,"31 Glenwood Drive"
138,Dennis,Alonzo,9449904946,"14 Southview Lane"
139,Kimberly,Richard,8672933152,"14 Forest Avenue"
140,Wayne,Emery,6606523528,"10 Oakdale Court"
141,Bernard,Bryant,7700967577,"7 Magnoli"
142,Julianna,Voss,8094692599,"12 Hillside Avenue"
143,Douglas,Collins,8353619517,"58 Yorktown Road"
144,Judith,Stancliff,9163895921,"33 Kingston Way"
145,Ron,Riggings,7737170093,"64 Cherry Hill Road"
146,Claud,Mandel,6390472396,"61 Sunnyside Road"
147,Andrew,Hubbard,6965173908,"32 Eastwood Drive"
148,Athena,Rivera,7136988691,"17 Hillcrest Drive"
149,Kyle,Abrams,8552313173,"73 Riverside Drive West"
150,Samantha,Barnes,8084058260,"66 Lake Shore Drive"
151,Bernardina,Deason,7781319517,"55 Rosedale Avenue"
152,Otis,Triplett,6100904020,"31 Prospect Avenue"
153,Eleanor,Lewis,9003970791,"35 Sunnyside Avenue"
154,Jeffrey,Mclaren,6100781016,"6 Cherrywood Drive"
155,David,Stafford,6207183932,"73 Pinehurst Drive"
156,Justin,Bourbeau,8979691372,"68 Cherry Hill Road"
157,Chris,Jackson,9730990566,"76 Sycamore Street"
158,Cheryl,Motley,7951097861,"43 Glenwood Avenue"
159,Art,Mckibben,7790972258,"17 Eastwood Drive"
160,Harold,Mcgrath,7408525137,"70 Broadview Avenue"
161,Robert,Cooper,8246829147,"68 Lincoln Circle"
162,Dorothy,Young,8745884710,"57 Linden Lane"
163,Freddy,Friend,9521949805,"4 Ridgeview Drive"
164,Jennifer,Cowan,6012147648,"14 Willow Street"
165,Nellie,Gray,7778686608,"70 Ridgeview Drive"
166,Cathy,Maisonet,6657661846,"25 Lincoln Avenue"
167,John,Vickers,8218448619,"3 Highland Road"
168,Albert,Clay,6020675153,"69 Elmwood Road"
169,John,NULL,9917853780,"40 Elmwood Road"
170,Henry,Rogge,6530823050,"58 Glenwood Drive"
171,Roberta,Boyes,9566974633,"62 Orchard Road"
172,Eileen,Bonn,6758217086,"56 Chestnut Avenue"
173,Michelle,Martinez,8558057507,"59 Locust Street"
174,April,Hepler,7360089141,"31 Parkview Terrace"
175,Elizabeth,Brown,8037146401,"45 Yorktown Road"
176,Claudio,Adger,7387350127,"16 Oak Hill Drive"
177,Tracy,Rominger,6581809391,"37 Pleasant Street"
178,Kristin,Delgado,6448614797,"16 Cedar Street"
179,Eric,Rasor,7584837575,"71 Elmwood Road"
180,Ginny,Fitzhenry,6824988544,"42 Cherrywood Drive"
181,Archie,Bryan,7977604120,"71 Forest Drive"
182,Linda,Ernesto,8926676141,"60 Magnoli"
183,Anthony,Strong,7300979542,"34 Pineview Road"
184,Whitney,Comer,8540506591,"47 Holly Avenue"
185,Clarice,Bass,9551540967,"32 Walnut Street"
186,James,Larkin,6168699795,"25 Glenwood Avenue"
187,Anthony,Hams,6844268027,"3 Cedar Terrace"
188,Eric,Chenoweth,8388861165,"60 Elmwood Place"
189,Preston,Tedesco,6902920313,"68 Magnoli"
190,Lela,NULL,7748530511,"46 Cherrywood Drive"
191,Angelo,Roy,6515798372,"69 Hillcrest Avenue"
192,Geraldine,Denton,9867075184,"19 Meadow Lane"
193,Lorraine,Forney,9824314864,"29 Jefferson Street"
194,James,Watkins,7388874717,"26 Park Street"
195,Anna,Parrish,9702370855,"69 Newbury Way"
196,Carlos,NULL,6317476465,"10 Ridgeview Drive"
197,Alfred,Lopez,7595823190,"47 Cherrywood Lane"
198,Paul,Grant,6721196268,"3 Sycamore Street"
199,Angel,Blevins,9097151521,"76 Beechwood Avenue"
200,Cynthia,Maxwell,7691097825,"43 Locust Street"
201,Marquis,Odonnell,6460315493,"60 Cherrywood Lane"
202,Vicky,Petrich,9870165062,"33 Beech Street"
